post_number,person_who_shared,url_of_person_who_shared
1,Abir Das Akash,https://www.facebook.com/groups/476030668706892/user/100028032312882/
1,Save Bangladeshi Hindus,https://www.facebook.com/groups/476030668706892/
1,Adriza Ghosh Tanni,https://www.facebook.com/groups/476030668706892/user/100021901866070/
1,G K SK,https://www.facebook.com/groups/2473844602751123/user/100015798289027/
1,Salman khan Lovers ❤,https://www.facebook.com/groups/2473844602751123/
1,Sandeep Nagpal,https://www.facebook.com/groups/2473844602751123/user/100050006285538/
1,Mehfaj Ahmed Khan,https://www.facebook.com/groups/2473844602751123/user/61555933302120/
1,Laxmi Giri,https://www.facebook.com/groups/2473844602751123/user/100011340565608/
1,Amit Bhardwaj,https://www.facebook.com/groups/2473844602751123/user/100042218464239/
1,Shipra Saha,https://www.facebook.com/groups/2473844602751123/user/100052692913958/
1,Salman Khan World,https://www.facebook.com/SalmanKhanWorldFansClub
2,Marhaba Bikom,https://www.facebook.com/groups/257261605395358/user/61569864351818/
2,TSKH CLUB,https://www.facebook.com/groups/257261605395358/
2,Salman Khan : Naam Nahi Brand Hai,https://www.facebook.com/groups/246473246659540/
2,Radhee Ruless,https://www.facebook.com/groups/327089774644122/user/100066667101494/
2,Salman Khan Being In Touch,https://www.facebook.com/groups/327089774644122/
3,Nahian Emon,https://www.facebook.com/nahianemonbd
3,Gen-90,https://www.facebook.com/viralcomboo
3,Khan Sk,https://www.facebook.com/khan.sk.893669
3,তাবাসসুম আক্তার বিথী,https://www.facebook.com/tabasasuma.aktara.bithi
3,Mazharul Islam Tamim,https://www.facebook.com/mazharul.islamtamim.5
3,Md. Sarwar Hossain,https://www.facebook.com/sarwarhossain.shr
3,Tanim Muhammad,https://www.facebook.com/profile.php
3,Palash Khan,https://www.facebook.com/palaash.khan1
3,মাহির বাবু,https://www.facebook.com/skfmahir3
3,Md Bashar Khan,https://www.facebook.com/mdbashar.khan.121
3,দুঃখী ছেলেটি,https://www.facebook.com/turjo.hasan.7330
4,G K SK,https://www.facebook.com/groups/2473844602751123/user/100015798289027/
4,Salman khan Lovers ❤,https://www.facebook.com/groups/2473844602751123/
4,Shiyamali De Costa,https://www.facebook.com/groups/2473844602751123/user/100094779202915/
4,Aliyan Khan,https://www.facebook.com/groups/2473844602751123/user/100051402705578/
4,Rajbala Raj,https://www.facebook.com/groups/2473844602751123/user/100070465771594/
4,Sheela Christopher,https://www.facebook.com/groups/2473844602751123/user/100029339583265/
4,GIPHY,https://l.facebook.com/l.php
4,Nasima Akter,https://www.facebook.com/groups/2473844602751123/user/61568806650171/
4,arpita khan sharma,https://www.facebook.com/profile.php
4,Firoz Shahaji,https://www.facebook.com/firoz.sahaji.71
4,Rani Roy,https://www.facebook.com/rani.roy.854639
4,Saima Khan,https://www.facebook.com/profile.php
4,Sarfaraz Siddiqui,https://www.facebook.com/sarfaraz.siddiqui.1612
4,Tenor,https://l.facebook.com/l.php
4,Vaishali Patil,https://www.facebook.com/profile.php
4,Ashish Mak Panchal,https://www.facebook.com/ashish.m.makwana
4,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
4,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
4,Ferdousi Akter,https://www.facebook.com/groups/503946360839552/user/100018920250179/
5,G K SK,https://www.facebook.com/groups/2473844602751123/user/100015798289027/
5,Salman khan Lovers ❤,https://www.facebook.com/groups/2473844602751123/
5,Shiyamali De Costa,https://www.facebook.com/groups/2473844602751123/user/100094779202915/
5,Aliyan Khan,https://www.facebook.com/groups/2473844602751123/user/100051402705578/
5,Rajbala Raj,https://www.facebook.com/groups/2473844602751123/user/100070465771594/
5,Sheela Christopher,https://www.facebook.com/groups/2473844602751123/user/100029339583265/
5,GIPHY,https://l.facebook.com/l.php
5,Nasima Akter,https://www.facebook.com/groups/2473844602751123/user/61568806650171/
5,arpita khan sharma,https://www.facebook.com/profile.php
5,Firoz Shahaji,https://www.facebook.com/firoz.sahaji.71
5,Rani Roy,https://www.facebook.com/rani.roy.854639
5,Saima Khan,https://www.facebook.com/profile.php
5,Sarfaraz Siddiqui,https://www.facebook.com/sarfaraz.siddiqui.1612
5,Tenor,https://l.facebook.com/l.php
5,Vaishali Patil,https://www.facebook.com/profile.php
5,Ashish Mak Panchal,https://www.facebook.com/ashish.m.makwana
5,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
5,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
5,Ferdousi Akter,https://www.facebook.com/groups/503946360839552/user/100018920250179/
6,G K SK,https://www.facebook.com/groups/2473844602751123/user/100015798289027/
6,Salman khan Lovers ❤,https://www.facebook.com/groups/2473844602751123/
6,Shiyamali De Costa,https://www.facebook.com/groups/2473844602751123/user/100094779202915/
6,Aliyan Khan,https://www.facebook.com/groups/2473844602751123/user/100051402705578/
6,Rajbala Raj,https://www.facebook.com/groups/2473844602751123/user/100070465771594/
6,Sheela Christopher,https://www.facebook.com/groups/2473844602751123/user/100029339583265/
6,GIPHY,https://l.facebook.com/l.php
6,Nasima Akter,https://www.facebook.com/groups/2473844602751123/user/61568806650171/
6,arpita khan sharma,https://www.facebook.com/profile.php
6,Firoz Shahaji,https://www.facebook.com/firoz.sahaji.71
6,Rani Roy,https://www.facebook.com/rani.roy.854639
6,Saima Khan,https://www.facebook.com/profile.php
6,Sarfaraz Siddiqui,https://www.facebook.com/sarfaraz.siddiqui.1612
6,Tenor,https://l.facebook.com/l.php
6,Vaishali Patil,https://www.facebook.com/profile.php
6,Ashish Mak Panchal,https://www.facebook.com/ashish.m.makwana
6,Sahajalal Tanvir,https://www.facebook.com/groups/503946360839552/user/100011758216618/
6,ট্রল সালমান খান হেটার্স,https://www.facebook.com/groups/503946360839552/
6,Ferdousi Akter,https://www.facebook.com/groups/503946360839552/user/100018920250179/
7,G K SK,https://www.facebook.com/groups/2473844602751123/user/100015798289027/
7,Salman khan Lovers ❤,https://www.facebook.com/groups/2473844602751123/
7,Shiyamali De Costa,https://www.facebook.com/groups/2473844602751123/user/100094779202915/
