post_number,person_who_shared,url_of_person_who_shared
1,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
1,Claude Hamel,https://www.facebook.com/claude.hamel.5
2,Pizza Pizza Parksville,https://www.facebook.com/profile.php
2,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
3,Pizza Pizza Vernon,https://www.facebook.com/profile.php
3,Pizza Pizza 661 Henderson Hwy.Winnipeg Manitoba,https://www.facebook.com/profile.php
3,Manohar Minhas,https://www.facebook.com/manohar.minhas
3,Tedarious Lowe,https://www.facebook.com/tedarious.lowe
4,Pizza Pizza and Flavors of India Niverville,https://www.facebook.com/groups/1779139356326043/
4,Niverville - Buy & Sell,https://www.facebook.com/groups/1518405828474320/
4,Ile Des Chenes and Grande Pointe Communities,https://www.facebook.com/groups/111062562245480/
4,"Pizza Pizza - 40 Drovers Run #2A, Niverville, MB R0A 0A1, Canada",https://www.facebook.com/pizzapizzanivervilleca
4,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
4,Maddie Thompson,https://www.facebook.com/maddietheresaa
4,Fort Richmond Community- Garage Sales,https://www.facebook.com/groups/970291681770543/
4,Indian Professional Network Winnipeg,https://www.facebook.com/groups/163607651121593/
4,The Malayali Association Of Manitoba Inc.(MAM),https://www.facebook.com/groups/488143221580569/
4,South Point Friends Association,https://www.facebook.com/groups/347574342303095/
7,Fayrouz Shenouda,https://www.facebook.com/fayrouz.shenouda
7,Jake Williams,https://www.facebook.com/famouzz3
7,Off-Road Ride For Autism,https://www.facebook.com/groups/1153978005082456/
7,The Flotilla for Autism,https://www.facebook.com/FlotillaForAutism
7,Classic Car Ride for Autism,https://www.facebook.com/groups/569431742188672/
7,Motorcycle Ride for Autism,https://www.facebook.com/groups/1108081490373189/
7,Snowmobile Ride For Autism,https://www.facebook.com/groups/364067498724707/
7,Fort Richmond Community- Garage Sales,https://www.facebook.com/groups/970291681770543/
7,The Malayali Association Of Manitoba Inc.(MAM),https://www.facebook.com/groups/488143221580569/
7,South Point Friends Association,https://www.facebook.com/groups/347574342303095/
7,David Robichaud,https://www.facebook.com/david.robichaud.313
10,Manohar Minhas,https://www.facebook.com/manohar.minhas
10,Port Alberni Happenings,https://www.facebook.com/groups/143281736284803/
10,Raj Gill,https://www.facebook.com/raj.gill.3344
10,Pizza Pizza 661 Henderson Hwy.Winnipeg Manitoba,https://www.facebook.com/profile.php
10,PIZZA PIZZA Yorkton,https://www.facebook.com/profile.php
10,Mark Chetcuti,https://www.facebook.com/mark.ch.12
